-4374,0
-13669,-648
165,11502
0,-29646
-29683,-2286
0,0
-30132,15066
0,0
-29808,-5022
-27903,-16200
0,0
-30495,32767
0,0
-29970,10368
-27221,0
-10206,13446
-30132,648
0,0
-29646,-4212
-20250,0
0,0
-30332,19670
0,0
-30529,32767
-17496,0
0,-28350
-29970,6804
-29970,0
0,-24948
324,4536
0,0
-30530,136
-19809,0
-3722,-10300
-21546,24300
-9558,15296
0,-29646
-25149,-6160
-9558,26244
-30537,136
-5184,0
-16038,11664
-23619,0
-1620,5508
-6318,-5832
0,-2592
-30476,30294
-12312,0
-9072,25826
-13284,0
-9072,27054
-11939,0
-24624,13676
0,-29484
-28532,-8262
0,0
-30334,17703
-28674,0
0,-29808
-30538,-2035
0,0
-30492,32767
-16779,8910
0,-22518
-30533,-2222
0,0
-30132,19495
-9558,0
-30525,32767
0,-27216
-26121,-16200
0,0
-30487,27864
-11826,0
-30374,-2269
0,0
-30132,4416
-25471,0
-17334,30132
-17740,4766
0,0
-30494,6863
0,0
-20574,22507
-6156,19184
0,0
-30132,17078
0,0
-27864,31266
-22680,0
0,-29646
-20434,-16848
0,0
-30495,9396
-1944,0
-6966,1458
0,0
-5022,19116
-162,2592
0,0
-30528,-2106
0,8262
0,-29646
-23490,-24462
-30518,-1701
-324,-836
0,-3726
-30132,4766
0,0
-29646,2268
0,0
0,0
-30526,-2421
-29808,-1555
162,0
-23814,8586
-29970,0
0,3564
-991,9694
0,-26244
-16402,-14418
0,-25434
-30534,-6227
0,-14094
-30294,7358
0,-22032
0,0
-7776,12218
0,-29646
-5589,17888
0,-12474
-2232,13744
0,-29484
-18671,-16362
0,0
-30132,12716
0,0
-29646,2592
-29486,0
0,-29646
-9882,-31292
0,-451
-30132,17632
0,0
-29322,8262
-29484,0
0,6642
0,-24462
-13770,-5184
-29846,-2359
0,0
-30295,20726
0,0
-29970,1918
0,0
-29484,0
-30528,-2108
-29792,0
0,-28350
-20347,-22866
0,-14985
-30436,163
0,0
-4083,12218
0,-29646
-30304,-16038
0,-4536
-30132,-347
-30492,-2106
0,-408
-7614,24786
486,0
-27578,-9072
0,0
-30465,-665
0,0
-30537,6292
-11016,0
-29808,16929
-29484,0
0,-29646
-30142,-16200
0,0
-30537,2890
-9720,0
0,21080
-12960,15134
0,-29646
-29808,-953
0,0
-28674,31104
-20574,0
0,-20250
-18133,-24137
0,-18306
0,-21384
-30294,-1296
0,0
-30519,21151
-18468,0
-19278,32076
-29646,0
-21546,23652
-29484,0
-29646,3402
-29970,-1782
-30314,-1782
0,0
-30365,1469
-2430,0
-30418,10689
-19116,-7866
-21708,0
-30365,-11434
0,-3240
-30332,-4563
0,0
-30132,5414
0,0
-29808,-4050
-30008,0
-23166,24948
-28998,10044
0,-13122
-2511,-28988
0,4118
-29646,-4211
-30132,0
0,-25110
-26280,-23814
0,-26406
-30528,-5386
0,0
-30536,12317
-13608,31833
-6560,1134
-30529,26851
-25011,0
-29484,3888
-28512,0
-30132,10391
0,-3888
0,0
-29646,2106
-28836,10598
0,-29484
-23975,-13770
0,0
-30492,26306
648,0
-15552,19116
-29484,2498
0,-16686
-30526,18954
0,-28674
-1248,9788
0,-20250
-23569,-16038
0,-5184
-30132,10448
-30491,32767
-1296,0
-24138,25272
-29646,0
0,-29646
-22863,-16038
0,-28998
-20338,-16038
-29666,-6736
0,-810
-30132,-16038
0,0
-30521,13481
0,0
-30531,1098
0,0
-30329,2592
-27848,0
-3240,-11016
-1863,-4212
0,-27864
-30294,6366
-29808,0
0,24783
-26441,-11340
0,0
-30536,4172
0,0
-29484,0
-162,-18630
-16038,-22518
0,-23976
-30536,-8262
0,-4212
-29727,0
0,-3579
-3894,-12150
0,0
-30330,324
-22346,0
